task_n,n,a1,pa1,a2,sa,b1,pb1,b2,sb,c1,pc1,c2,sc,rab,rbc,ADD,block_2_A
1,2,1,0.9,-10,0,0,1,0,0,0,1,0,0,0,0,0,0.57
2,2,10,0.1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0.27
3,2,12,1,12,0,11,1,11,0,0,1,0,0,0,0,0,0.89
4,2,12,1,12,0,20,0.1,10,0,0,1,0,0,0,0,0,0.82
5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0.98
6,2,11,0.5,-9,0,0,1,0,0,0,1,0,0,0,0,0,0.52
7,2,-20,0.06,1.5,0,1.35,1,1.35,0,0,1,0,0,0,0,0,0.51
8,2,-20,0.06,1.5,0,3,0.45,0,0,0,1,0,0,0,0,0,0.35
9,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,-1,0,0,0.52
10,3,8,0.51,-8,0,4,0.51,-4,0,0,1,0,0,1,0,0,0.52
11,3,1.35,1,1.35,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.31
12,3,1.35,1,1.35,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.45
13,2,1.35,1,1.35,0,1.6,0.97,-20,0,0,1,0,0,1,0,0,0.36
14,2,1.35,1,1.35,0,1.2,0.97,-20,0,0,1,0,0,1,0,0,0.95
15,3,5,0.5,3,0,8,0.5,0,0,5,0.4,3,0,0,0,0,0.31
16,3,5,0.5,3,0,8,0.5,0,0,8,0.4,0,0,0,0,0,0.41
17,3,40,0.1,1.5,0,10,0.1,3,0,30,0.1,1.4,0,1,1,0,0.37
18,3,40,0.1,1.5,0,10,0.1,3,0,2.1,1,2.1,0,1,1,0,0.34
19,3,6,0.4,0,0,5,0.5,0,0,4,0.6,0,0,1,1,0,0.39
20,3,6,0.4,0,0,5,0.5,0,0,7,0.3,0,0,1,1,0,0.25
21,3,100,0.01,0,0,2,0.5,0,0,1,1,1,0,1,1,0,0.07
22,3,100,0.01,0,0,2,0.5,0,0,2.04,0.49,0,0,1,1,0,0.13
23,2,8,0.5,-6,0,7,0.5,-7,0,0,1,0,0,1,0,0,0.91
24,2,8,0.5,-6,0,7,0.5,-7,0,0,1,0,0,-1,0,0,0.51
25,2,9,0.9,0,0,9.1,0.87,0.1,0,0,1,0,0,1,0,0,0.2
26,2,9,0.9,0,0,9.1,0.87,0.1,0,0,1,0,0,-1,0,0,0.29
27,2,10,0.5,-10,0,11,0.5,-9,0,0,1,0,0,1,0,0,0.25
28,3,10,0.5,-10,0,11,0.5,-9,0,10,0.49,-10,0,1,0,0,0.05
29,3,5,0.5,3,0,8,0.5,0,0,5,0.4,4,0,0,0,0,0.25
30,3,5,0.5,3,0,8,0.5,0,0,8,0.4,1,0,0,0,0,0.33
31,2,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,-1,0,0,0.52
32,2,17,0.5,1,0,13,0.5,5,0,0,1,0,0,-1,0,0,0.54
33,3,0,1,0,10,0,1,0,5,0,1,0,0,0,0,1,0.53
34,3,0,1,0,10,0,1,0,5,0.5,1,0,0,0,0,1,0.43
35,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,0,0,1,0.45
36,3,17,0.5,1,0,13,0.5,5,0,9,1,9,0,-1,0,0,0.31
37,3,18,0.5,2,0,14,0.5,6,0,10,1,10,0,-1,0,0,0.38
38,3,0.6,1,0.6,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.2
39,3,3,0.45,0,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.62
40,3,0.6,1,0.6,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.22
41,3,3,0.45,0,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.52
42,3,3,0.45,0,0,2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.4
43,3,3,0.98,-148,0,2,0.8,-13,0,0,1,0,0,0,1,0,0.69
44,3,2,0.98,-148,0,3,0.8,-10,0,0,1,0,0,0,1,0,0.43
