,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,Briars
62.0,0.25,0.1,0.3,0.5,0.55,0.6,0.3,0.35,0.4,0.25,0.15,0.6,0.35,0.1,0.2,0.0
63.0,0.2,0.4,0.25,0.45,0.45,0.75,0.25,0.35,0.5,0.45,0.05,0.35,0.4,0.05,0.1,0.0
64.0,0.7,0.8,0.55,0.7,0.6,0.05,0.0,0.1,0.2,0.3,0.25,0.2,0.35,0.1,0.1,0.0
65.0,0.4,0.5,0.45,0.25,0.3,0.6,0.4,0.5,0.45,0.65,0.0,0.1,0.05,0.3,0.05,0.0
66.0,0.2,0.2,0.25,0.25,0.15,0.8,0.75,0.5,0.7,0.8,0.0,0.05,0.25,0.05,0.05,0.0
67.0,0.15,0.2,0.2,0.1,0.05,0.6,0.4,0.2,0.8,0.6,0.25,0.4,0.6,0.1,0.35,0.0
68.0,0.4,0.2,0.4,0.5,0.3,0.15,0.55,0.55,0.3,0.55,0.45,0.25,0.05,0.2,0.15,0.0
69.0,0.45,0.5,0.5,0.7,0.3,0.55,0.5,0.5,0.3,0.65,0.0,0.0,0.0,0.0,0.05,0.0
70.0,0.1,0.2,0.2,0.05,0.2,0.45,0.5,0.4,0.5,0.5,0.45,0.3,0.4,0.45,0.3,0.0
71.0,0.45,0.3,0.2,0.55,0.3,0.3,0.4,0.4,0.35,0.4,0.25,0.3,0.4,0.1,0.3,0.0
72.0,0.55,0.5,0.3,0.25,0.5,0.4,0.3,0.3,0.35,0.2,0.05,0.2,0.4,0.4,0.3,0.0
73.0,0.35,0.1,0.15,0.3,0.15,0.65,0.85,0.85,0.6,0.7,0.0,0.05,0.0,0.1,0.15,0.0
74.0,0.8,0.55,0.55,0.4,0.3,0.15,0.45,0.35,0.6,0.6,0.05,0.0,0.1,0.0,0.1,0.0
75.0,0.35,0.15,0.25,0.05,0.2,0.5,0.55,0.6,0.75,0.7,0.15,0.3,0.15,0.2,0.1,0.0
76.0,0.6,0.4,0.5,0.6,0.4,0.3,0.35,0.25,0.2,0.45,0.1,0.25,0.25,0.2,0.15,0.0
77.0,0.5,0.05,0.35,0.35,0.5,0.4,0.6,0.4,0.45,0.15,0.1,0.35,0.25,0.2,0.35,0.0
78.0,0.75,0.7,0.4,0.35,0.3,0.2,0.3,0.55,0.45,0.55,0.05,0.0,0.05,0.2,0.15,0.0
79.0,0.45,0.4,0.35,0.35,0.4,0.55,0.45,0.5,0.55,0.5,0.0,0.15,0.15,0.1,0.1,0.0
80.0,0.15,0.1,0.15,0.35,0.35,0.85,0.9,0.85,0.65,0.65,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.05,0.0,0.0,0.0,0.0,0.95,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.55,0.5,0.05,0.25,0.15,0.35,0.45,0.95,0.7,0.85,0.1,0.05,0.0,0.05,0.0,0.0
83.0,0.5,0.55,0.55,0.65,0.7,0.35,0.3,0.4,0.2,0.2,0.15,0.15,0.05,0.15,0.1,0.0
84.0,1.0,0.8,0.8,0.85,0.85,0.0,0.2,0.2,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.9,0.95,0.9,0.95,0.85,0.1,0.05,0.1,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.8,0.5,0.65,0.6,0.7,0.2,0.4,0.25,0.3,0.3,0.0,0.1,0.1,0.1,0.0,0.0
87.0,0.55,0.65,0.2,0.35,0.6,0.45,0.3,0.25,0.3,0.2,0.0,0.05,0.55,0.35,0.2,0.0
88.0,0.95,1.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
